"Nome","Valor","Código","Quantidade","Utilizados","Início","Fim","Compra mínima","Ações"
"umreal","R$ 1.00","umreal","1","0","12/03/2025 00:00:00","12/03/2025 00:00:00","-",""
"umporcento","1%","1p","8","0","12/03/2025 00:00:00","12/03/2025 00:00:00","-",""
"teste de 10%","10%","cupom10","5","2","12/03/2025 16:00:00","15/03/2025 23:55:00","-",""
"Teste cupom real","R$ 2.00","testereal","","0","17/03/2025 13:45:00","27/03/2025 18:50:00","-",""
"Teste cupom porcentagem","10%","testeporcen","","0","18/03/2025 17:45:00","26/03/2025 22:50:00","-",""
"Teste cupom real","R$ 2.00","testereal2","","2","11/03/2025 18:30:00","15/03/2025 11:25:00","-",""
"Cupom Expirado","15%","expirado15","1","0","10/03/2025 00:00:00","11/03/2025 23:55:00","-",""
"desconto15","13%","desc15","8","2","13/03/2025 08:00:00","17/03/2025 08:00:00","-",""
"40PORCENTO","40%","40PORCENTO","9","2","13/03/2025 08:00:00","18/03/2025 09:00:00","-",""
"real","R$ 2.00","real","4","2","13/03/2025 09:00:00","14/03/2025 09:00:00","-",""
"maior","R$ 3.00","maior","5","2","13/03/2025 09:00:00","14/03/2025 09:00:00","-",""
"Cupom15","15%","cupom15","2","2","13/03/2025 00:00:00","21/03/2025 23:55:00","-",""
"cupom25","25%","cupom25","1","0","13/03/2025 00:00:00","21/03/2025 23:55:00","-",""
"cupom50","50%","cupom50","3","1","13/03/2025 00:00:00","21/03/2025 23:55:00","-",""
"cupom60","60%","cupom60","2","1","13/03/2025 00:00:00","13/03/2025 19:00:00","-",""
"teste vincular","R$ 4.00","testevinc","8","2","12/03/2025 10:50:00","28/03/2025 14:30:00","-",""
"teste 90%","90%","90porcento","20","0","12/03/2025 14:30:00","14/03/2025 11:35:00","-",""
"luiz15","15%","luiz15","","0","13/03/2025 00:00:00","15/03/2025 23:55:00","-",""
"trilha","10%","trilha10","10","0","13/03/2025 00:00:00","22/03/2025 00:00:00","-",""
"Cupom15","R$ 15.00","esmp15","","1","14/03/2025 00:00:00","14/03/2025 00:00:00","-",""
"Cupom15","R$ 15.00","mpmp15","","0","14/03/2025 00:00:00","14/03/2025 00:00:00","-",""
"CUPOM10","10%","CUPOM10","900","7","05/05/2025 09:25:00","-","-",""
"VALE1","R$ 1.00","VALE1","10","7","05/05/2025 05:25:00","-","-",""
"VALE50%","50%","VALE50%","50","3","08/05/2025 09:00:00","-","-",""
"VALE10%","10%","VALE10%","10","10","-","-","-",""
"DIA29","10%","DIA29","5","5","29/05/2025 10:00:00","-","-",""
"3005","10%","3005","5","1","30/05/2025 14:00:00","-","-",""
"DIA02","20%","DIA02","88","2","02/06/2025 08:00:00","-","-",""
"dia17","50%","dia17","100","1","17/07/2025 08:00:00","18/07/2025 18:00:00","R$ 1.00",""
"teste07/08","10%","teste07/08","100","1","07/08/2025 08:00:00","07/08/2025 11:00:00","R$ 5.00",""
"teste8/8","50%","teste8/8","100","0","-","-","-",""
"teste2111","50%","20251121","5","0","21/11/2025 16:00:00","21/11/2025 17:00:00","-",""
"novo 21/11","5%","caio2111","2","0","21/11/2025 17:10:00","21/11/2025 17:30:00","-",""
"PAGAMENTO 21/11","5%","pagamento2111","2","0","21/11/2025 17:20:00","21/11/2025 19:55:00","-",""
"Teste28/11","50%","2811-1","1","0","28/11/2025 10:20:00","28/11/2025 10:30:00","R$ 5.00",""
"Teste28/112","R$ 1.00","28/11-2","1","0","28/11/2025 10:20:00","28/11/2025 10:40:00","-",""
"Teste04/12-1","R$ 1.00","Teste04/12-1","1","0","04/12/2025 10:35:00","04/12/2025 11:00:00","R$ 2.00",""
"Teste04/12","R$ 1.00","Teste04/12","1","0","04/12/2025 11:30:00","04/12/2025 11:40:00","R$ 5.00",""
"04/11","50%","04/11","1","0","04/12/2025 16:00:00","11/12/2025 04:00:00","-",""
"04/11 2","50%","04/11 2","","0","-","-","-",""
"cupom esmp 09122025","R$ 5.00","09122025","2","0","-","-","-",""
"Teste 12/12-1","R$ 1.00","Teste 12/12-1","1","1","-","-","-",""
"desconto 15","15%","desconto15%","1","0","-","-","-",""
"Teste Cupom$1","R$ 1.00","2301","","2","-","-","-",""
"Teste","50%","2601","","5","-","-","-",""
"Teste28","R$ 1.00","2801","","3","-","-","-",""
"teste2801","R$ 2.00","201","","8","-","-","-",""
"teste1","50%","teste1","1","0","-","-","-",""
